stationid,PARAMETER,Regression,Mann-Kendall,agreement,,% in agreement
STOMARD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
SUNALTD,Chlorophyll-a,Improving,Worsening,Disagree,,
SUNALTD,pH (epilimnion),Stable,Stable,Agree,,
SUNALTD,Transparency,Stable,Stable,Agree,,
SUNALTD,Conductivity,Worsening,Worsening,Agree,,
SUNALTD,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNALTD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNGRED,Chlorophyll-a,Stable,Stable,Agree,,
SUNGRED,pH (epilimnion),Worsening,Improving,Disagree,,
SUNGRED,Transparency,Stable,Stable,Agree,,
SUNGRED,Conductivity,Worsening,Worsening,Agree,,
SUNGRED,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNGRED,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNLBRND,Chlorophyll-a,Improving,Worsening,Disagree,,
SUNLBRND,pH (epilimnion),Stable,Stable,Agree,,
SUNLBRND,Transparency,Stable,Stable,Agree,,
SUNLBRND,Conductivity,Worsening,Worsening,Agree,,
SUNLBRND,Phosphorus (epilimnion),Improving,Stable,Disagree,,
SUNLBRND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNLNWLD,Chlorophyll-a,Stable,Stable,Agree,,
SUNLNWLD,pH (epilimnion),Stable,Stable,Agree,,
SUNLNWLD,Transparency,Worsening,Improving,Disagree,,
SUNLNWLD,Conductivity,Stable,Stable,Agree,,
SUNLNWLD,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNLNWLD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNMIDD,Chlorophyll-a,Stable,Stable,Agree,,
SUNMIDD,pH (epilimnion),Stable,Stable,Agree,,
SUNMIDD,Transparency,Stable,Stable,Agree,,
SUNMIDD,Conductivity,Worsening,Worsening,Agree,,
SUNMIDD,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNMIDD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN010,Chlorophyll-a,Stable,Stable,Agree,,
SUNSUN010,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN010,Transparency,Stable,Improving,Disagree,,
SUNSUN010,Conductivity,Stable,Stable,Agree,,
SUNSUN010,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN010,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN020,Chlorophyll-a,Improving,Worsening,Disagree,,
SUNSUN020,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN020,Transparency,Stable,Stable,Agree,,
SUNSUN020,Conductivity,Stable,Stable,Agree,,
SUNSUN020,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN020,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN030,Chlorophyll-a,Stable,Stable,Agree,,
SUNSUN030,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN030,Transparency,Stable,Stable,Agree,,
SUNSUN030,Conductivity,Stable,Stable,Agree,,
SUNSUN030,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN030,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN040,Chlorophyll-a,Stable,Worsening,Disagree,,
SUNSUN040,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN040,Transparency,Stable,Stable,Agree,,
SUNSUN040,Conductivity,Stable,Stable,Agree,,
SUNSUN040,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN040,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN060,Chlorophyll-a,Improving,Worsening,Disagree,,
SUNSUN060,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN060,Transparency,Worsening,Improving,Disagree,,
SUNSUN060,Conductivity,Stable,Stable,Agree,,
SUNSUN060,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN060,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN070,Chlorophyll-a,Improving,Worsening,Disagree,,
SUNSUN070,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN070,Transparency,Stable,Stable,Agree,,
SUNSUN070,Conductivity,Stable,Stable,Agree,,
SUNSUN070,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN070,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN080,Chlorophyll-a,Improving,Worsening,Disagree,,
SUNSUN080,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN080,Transparency,Worsening,Stable,Disagree,,
SUNSUN080,Conductivity,Stable,Stable,Agree,,
SUNSUN080,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN080,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN090,Chlorophyll-a,Improving,Worsening,Disagree,,
SUNSUN090,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN090,Transparency,Stable,Stable,Agree,,
SUNSUN090,Conductivity,Stable,Stable,Agree,,
SUNSUN090,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN090,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN100,Chlorophyll-a,Stable,Stable,Agree,,
SUNSUN100,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN100,Transparency,Stable,Stable,Agree,,
SUNSUN100,Conductivity,Stable,Stable,Agree,,
SUNSUN100,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN100,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN1001,Chlorophyll-a,Stable,Worsening,Disagree,,
SUNSUN1001,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN1001,Transparency,Worsening,Stable,Disagree,,
SUNSUN1001,Conductivity,Stable,Stable,Agree,,
SUNSUN1001,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN1001,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN110,Chlorophyll-a,Stable,Stable,Agree,,
SUNSUN110,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN110,Transparency,Worsening,Improving,Disagree,,
SUNSUN110,Conductivity,Stable,Stable,Agree,,
SUNSUN110,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN110,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN1D,Chlorophyll-a,Stable,Stable,Agree,,
SUNSUN1D,pH (epilimnion),Improving,Improving,Agree,,
SUNSUN1D,Transparency,Stable,Stable,Agree,,
SUNSUN1D,Conductivity,Worsening,Worsening,Agree,,
SUNSUN1D,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
SUNSUN1D,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN220D,Chlorophyll-a,Improving,Worsening,Disagree,,
SUNSUN220D,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN220D,Transparency,Stable,Stable,Agree,,
SUNSUN220D,Conductivity,Worsening,Worsening,Agree,,
SUNSUN220D,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN220D,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN2D,Chlorophyll-a,Stable,Stable,Agree,,
SUNSUN2D,pH (epilimnion),Stable,Stable,Agree,,
SUNSUN2D,Transparency,Stable,Stable,Agree,,
SUNSUN2D,Conductivity,Worsening,Worsening,Agree,,
SUNSUN2D,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN2D,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNSUN3D,Chlorophyll-a,Improving,Worsening,Disagree,,
SUNSUN3D,pH (epilimnion),Improving,Improving,Agree,,
SUNSUN3D,Transparency,Stable,Improving,Disagree,,
SUNSUN3D,Conductivity,Worsening,Worsening,Agree,,
SUNSUN3D,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNSUN3D,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SUNUBRND,Chlorophyll-a,Improving,Worsening,Disagree,,
SUNUBRND,pH (epilimnion),Stable,Stable,Agree,,
SUNUBRND,Transparency,Stable,Stable,Agree,,
SUNUBRND,Conductivity,Worsening,Worsening,Agree,,
SUNUBRND,Phosphorus (epilimnion),Stable,Stable,Agree,,
SUNUBRND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
SWASWAD,Chlorophyll-a,Stable,Stable,Agree,,
SWASWAD,pH (epilimnion),Stable,Stable,Agree,,
SWASWAD,Transparency,Stable,Stable,Agree,,
SWASWAD,Conductivity,Worsening,Worsening,Agree,,
SWASWAD,Phosphorus (epilimnion),Stable,Stable,Agree,,
SWASWAD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
TARPIED,Chlorophyll-a,Stable,Stable,Agree,,
TARPIED,pH (epilimnion),Stable,Stable,Agree,,
TARPIED,Transparency,Stable,Stable,Agree,,
TARPIED,Conductivity,Stable,Stable,Agree,,
TARPIED,Phosphorus (epilimnion),Stable,Stable,Agree,,
TARPIED,Phosphorus (hypolimnion),Stable,Stable,Agree,,
THOJAFD,Chlorophyll-a,Stable,Stable,Agree,,
THOJAFD,pH (epilimnion),Stable,Stable,Agree,,
THOJAFD,Transparency,Stable,Stable,Agree,,
THOJAFD,Conductivity,Improving,Worsening,Disagree,,
THOJAFD,Phosphorus (epilimnion),Stable,Stable,Agree,,
THOJAFD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
TODNBYD,Chlorophyll-a,Stable,Stable,Agree,,
TODNBYD,pH (epilimnion),Stable,Stable,Agree,,
TODNBYD,Transparency,Stable,Stable,Agree,,
TODNBYD,Conductivity,Stable,Stable,Agree,,
TODNBYD,Phosphorus (epilimnion),Stable,Stable,Agree,,
TODNBYD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
TOLNELD,Chlorophyll-a,Stable,Stable,Agree,,
TOLNELD,pH (epilimnion),Stable,Stable,Agree,,
TOLNELD,Transparency,Stable,Stable,Agree,,
TOLNELD,Conductivity,Stable,Stable,Agree,,
TOLNELD,Phosphorus (epilimnion),Stable,Stable,Agree,,
TOLNELD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
TOMWRND,Chlorophyll-a,Stable,Worsening,Disagree,,
TOMWRND,pH (epilimnion),Stable,Stable,Agree,,
TOMWRND,Transparency,Stable,Stable,Agree,,
TOMWRND,Conductivity,Worsening,Worsening,Agree,,
TOMWRND,Phosphorus (epilimnion),Stable,Stable,Agree,,
TOMWRND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
TUCSBYD,Chlorophyll-a,Stable,Stable,Agree,,
TUCSBYD,pH (epilimnion),Stable,Stable,Agree,,
TUCSBYD,Transparency,Stable,Stable,Agree,,
TUCSBYD,Conductivity,Worsening,Worsening,Agree,,
TUCSBYD,Phosphorus (epilimnion),Stable,Stable,Agree,,
TUCSBYD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WARALSD,Chlorophyll-a,Stable,Stable,Agree,,
WARALSD,pH (epilimnion),Improving,Improving,Agree,,
WARALSD,Transparency,Worsening,Improving,Disagree,,
WARALSD,Conductivity,Stable,Stable,Agree,,
WARALSD,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
WARALSD,Phosphorus (hypolimnion),Worsening,Stable,Disagree,,
WAUDAND,Chlorophyll-a,Improving,Worsening,Disagree,,
WAUDAND,pH (epilimnion),Improving,Improving,Agree,,
WAUDAND,Transparency,Stable,Stable,Agree,,
WAUDAND,Conductivity,Stable,Stable,Agree,,
WAUDAND,Phosphorus (epilimnion),Stable,Stable,Agree,,
WAUDAND,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
WAUMERMD,Chlorophyll-a,Stable,Stable,Agree,,
WAUMERMD,pH (epilimnion),Stable,Stable,Agree,,
WAUMERMD,Transparency,Improving,Improving,Agree,,
WAUMERMD,Conductivity,Worsening,Worsening,Agree,,
WAUMERMD,Phosphorus (epilimnion),Stable,Stable,Agree,,
WAUMERMD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WAUMERWD,Chlorophyll-a,Stable,Stable,Agree,,
WAUMERWD,pH (epilimnion),Stable,Stable,Agree,,
WAUMERWD,Transparency,Improving,Improving,Agree,,
WAUMERWD,Conductivity,Worsening,Worsening,Agree,,
WAUMERWD,Phosphorus (epilimnion),Stable,Stable,Agree,,
WAUMERWD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WEBFRKD,Chlorophyll-a,Stable,Stable,Agree,,
WEBFRKD,pH (epilimnion),Stable,Stable,Agree,,
WEBFRKD,Transparency,Worsening,Improving,Disagree,,
WEBFRKD,Conductivity,Stable,Stable,Agree,,
WEBFRKD,Phosphorus (epilimnion),Stable,Stable,Agree,,
WEBFRKD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WENWOLFD,Chlorophyll-a,Worsening,Worsening,Agree,,
WENWOLFD,pH (epilimnion),Stable,Stable,Agree,,
WENWOLFD,Transparency,Stable,Stable,Agree,,
WENWOLFD,Conductivity,Stable,Stable,Agree,,
WENWOLFD,Phosphorus (epilimnion),Stable,Stable,Agree,,
WENWOLFD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WENWOLG,Chlorophyll-a,Stable,Stable,Agree,,
WENWOLG,pH (epilimnion),Stable,Stable,Agree,,
WENWOLG,Transparency,Stable,Stable,Agree,,
WENWOLG,Conductivity,Stable,Stable,Agree,,
WENWOLG,Phosphorus (epilimnion),Stable,Stable,Agree,,
WENWOLG,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WHELEED,Chlorophyll-a,Worsening,Worsening,Agree,,
WHELEED,pH (epilimnion),Stable,Stable,Agree,,
WHELEED,Transparency,Stable,Stable,Agree,,
WHELEED,Conductivity,Stable,Stable,Agree,,
WHELEED,Phosphorus (epilimnion),Stable,Stable,Agree,,
WHELEED,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WHIHOLD,Chlorophyll-a,Stable,Stable,Agree,,
WHIHOLD,pH (epilimnion),Stable,Stable,Agree,,
WHIHOLD,Transparency,Stable,Stable,Agree,,
WHIHOLD,Conductivity,Worsening,Worsening,Agree,,
WHIHOLD,Phosphorus (epilimnion),Stable,Stable,Agree,,
WHIHOLD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WICMERD,Chlorophyll-a,Stable,Stable,Agree,,
WICMERD,pH (epilimnion),Stable,Stable,Agree,,
WICMERD,Transparency,Stable,Stable,Agree,,
WICMERD,Conductivity,Worsening,Worsening,Agree,,
WICMERD,Phosphorus (epilimnion),Stable,Stable,Agree,,
WICMERD,Phosphorus (hypolimnion),Stable,Worsening,Disagree,,
WILPFDD,Chlorophyll-a,Stable,Stable,Agree,,
WILPFDD,pH (epilimnion),Stable,Stable,Agree,,
WILPFDD,Transparency,Worsening,Improving,Disagree,,
WILPFDD,Conductivity,Stable,Stable,Agree,,
WILPFDD,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
WILPFDD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WILSWAD,Chlorophyll-a,Stable,Stable,Agree,,
WILSWAD,pH (epilimnion),Stable,Stable,Agree,,
WILSWAD,Transparency,Stable,Stable,Agree,,
WILSWAD,Conductivity,Worsening,Worsening,Agree,,
WILSWAD,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
WILSWAD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
WINMBELD,Chlorophyll-a,Stable,Stable,Agree,,
WINMBELD,pH (epilimnion),Stable,Stable,Agree,,
WINMBELD,Transparency,Stable,Stable,Agree,,
WINMBELD,Conductivity,Worsening,Worsening,Agree,,
WINMBELD,Phosphorus (epilimnion),Stable,Stable,Agree,,
WINMBELD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WINNWHD,Chlorophyll-a,Worsening,Worsening,Agree,,
WINNWHD,pH (epilimnion),Stable,Stable,Agree,,
WINNWHD,Transparency,Stable,Stable,Agree,,
WINNWHD,Conductivity,Worsening,Worsening,Agree,,
WINNWHD,Phosphorus (epilimnion),Stable,Stable,Agree,,
WINNWHD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
WINPLACD,Chlorophyll-a,Stable,Stable,Agree,,
WINPLACD,pH (epilimnion),Stable,Stable,Agree,,
WINPLACD,Transparency,Worsening,Stable,Disagree,,
WINPLACD,Conductivity,Worsening,Worsening,Agree,,
WINPLACD,Phosphorus (epilimnion),Improving,Worsening,Disagree,,
WINPLACD,Phosphorus (hypolimnion),Improving,Worsening,Disagree,,
WINTLACD,Chlorophyll-a,Stable,Stable,Agree,,
WINTLACD,pH (epilimnion),Stable,Stable,Agree,,
WINTLACD,Transparency,Stable,Stable,Agree,,
WINTLACD,Conductivity,Worsening,Worsening,Agree,,
WINTLACD,Phosphorus (epilimnion),Stable,Stable,Agree,,
WINTLACD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
WINWEBD,Chlorophyll-a,Stable,Stable,Agree,,
WINWEBD,pH (epilimnion),Stable,Stable,Agree,,
WINWEBD,Transparency,Stable,Stable,Agree,,
WINWEBD,Conductivity,Improving,Worsening,Disagree,,
WINWEBD,Phosphorus (epilimnion),Stable,Stable,Agree,,
WINWEBD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
ZEPGRED,Chlorophyll-a,Stable,Stable,Agree,,
ZEPGRED,pH (epilimnion),Stable,Stable,Agree,,
ZEPGRED,Transparency,Stable,Stable,Agree,,
ZEPGRED,Conductivity,Worsening,Worsening,Agree,,
ZEPGRED,Phosphorus (epilimnion),Stable,Stable,Agree,,
ZEPGRED,Phosphorus (hypolimnion),Stable,Stable,Agree,,
